sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
復興,高雄市,38,,良好,1,0.48,43.8,41,42,19,13.7,14.7,1,1.4,279,"2023/05/09 22:00:00",0.4,10,29,1,120.312017,22.608711,71
埔里,南投縣,44,,良好,1.2,0.3,43.4,41.9,31,15,5.7,5.6,0,0.3,286,"2023/05/09 22:00:00",0.3,13,28,1,120.967903,23.968842,72
馬祖,連江縣,112,臭氧八小時,對敏感族群不健康,1.3,0.17,71,74.7,23,20,3.3,3.3,0,0.7,65,"2023/05/09 22:00:00",0.2,20,31,1,119.93149378,26.15188416,75
金門,金門縣,84,臭氧八小時,普通,2.1,0.23,60.4,65.6,30,14,6.2,6.5,0.2,2.3,49,"2023/05/09 22:00:00",0.2,21,33,1,118.312256,24.432133,77
馬公,澎湖縣,71,臭氧八小時,普通,0.6,0.19,63.3,61.7,29,14,2.5,3.1,0.6,4.9,25,"2023/05/09 22:00:00",0.1,16,32,0,119.566158,23.569031,78
關山,臺東縣,44,,良好,0.8,0.17,47.3,47.3,30,12,2.2,2.6,0.4,1.5,9,"2023/05/09 22:00:00",0.1,10,28,0,121.161933,23.045083,80
麥寮,雲林縣,61,臭氧八小時,普通,2.5,0.26,37.8,58.8,48,19,11.6,12.5,0.9,1.7,189,"2023/05/09 22:00:00",0.2,18,47,2,120.251825,23.753506,83
富貴角,新北市,93,臭氧八小時,普通,0,0.12,71.7,68.3,35,11,1,0.9,0,4.9,66,"2023/05/09 22:00:00",0.1,13,43,0,121.53656894,25.29681695,84
大城,彰化縣,60,細懸浮微粒,普通,1.7,0.2,40.2,57,42,18,10.9,11.6,0.7,5.4,50,"2023/05/09 22:00:00",0.1,19,45,1,120.26964167,23.85493056,85
彰化(員林),彰化縣,67,細懸浮微粒,普通,2,0.33,25.5,40.7,48,34,18.2,26.2,8,0.3,323,"2023/05/09 22:00:00",0.3,22,44,1,120.56373,23.96117,201
高雄(湖內),高雄市,67,細懸浮微粒,普通,1.9,0.22,47.1,55.6,49,18,8.3,9.7,1.4,1.1,331,"2023/05/09 22:00:00",0.3,22,52,2,120.24535,22.87985556,202
臺南(麻豆),臺南市,64,臭氧八小時,普通,1.5,0.2,42.5,59.5,58,17,7.7,8.3,0.5,1.2,357,"2023/05/09 22:00:00",0.2,18,57,1,120.24583056,23.17904722,203
屏東(琉球),屏東縣,32,,良好,0.7,0.2,38.6,35.8,12,7,3.2,3.9,0.7,0.3,135,"2023/05/09 22:00:00",0.2,7,7,0,120.37722,22.35222,204
桃園(三民),桃園市,58,細懸浮微粒,普通,0.9,0.34,53.6,54,34,17,7.6,8.3,0.7,1,77,"2023/05/09 22:00:00",0.3,18,38,0,121.31788148,25.00132736,310
新北(樹林),新北市,56,細懸浮微粒,普通,0,0.28,31.3,30.6,25,16,15.4,18.6,3.2,0.3,130,"2023/05/09 22:00:00",0.3,17,35,0,121.38352778,24.94902778,311
屏東(枋山),屏東縣,37,,良好,0.2,0.08,43.6,40.5,5,5,2.6,2.7,0,2.9,85,"2023/05/09 22:00:00",0,4,6,0,120.651472,22.260899,313
